int_chllS_1000,int_chllS_300,oc,kd,Var5,Var6,Var7,Var8,Var9
-4.45210295448546e-08,-4.45210295448546e-08,0.268040269613266,0.0527999986661598,-80.03988,-80.03988,2017,2,10
-6.41222137173229e-08,-6.41222137173229e-08,0.235599711537361,0.0485999987722607,-80.03172,-80.03172,2017,2,10
-7.17096542567926e-08,-7.17096542567926e-08,0.166174948215485,0.0409999989642529,-80.02313,-80.02313,2017,2,10
-6.56595880580661e-08,-6.56595880580661e-08,0.149013638496399,0.0369999990653014,-80.01538,-80.01538,2017,2,10
-2.79127197817307e-08,-2.79127197817307e-08,0.139009192585945,0.0345999991259305,-80.00107,-80.00107,2017,2,10
-3.92818936166385e-08,-3.92818936166385e-08,0.128559559583664,0.0307999992219266,-79.98666,-79.98666,2017,2,10
-5.38745912489151e-08,-5.38745912489151e-08,0.139812499284744,0.0307999992219266,-79.97094,-79.97094,2017,2,10
-7.11938283383513e-08,-7.11938283383513e-08,0.132950022816658,0.031999999191612,-79.95431,-79.95431,2017,2,10
-5.49152545200726e-08,-5.49152545200726e-08,0.124401964247227,0.0275999993027654,-79.94028,-79.94028,2017,2,10
-7.91134380864028e-08,-7.91134380864028e-08,0.110624149441719,0.0279999992926605,-79.92436,-79.92436,2017,2,10
-8.76306763944828e-08,-8.76306763944827e-08,0.127427995204926,0.0297999992471887,-79.90874,-79.90874,2017,2,10
-1.02046776829783e-07,-1.02046776829783e-07,0.127861425280571,0.0325999991764547,-79.89571,-79.89571,2017,2,10
-1.04212588788221e-07,-1.04212588788221e-07,0.122099153697491,0.0237999993987614,-79.88344,-79.88344,2017,2,10
-9.48472406141774e-08,-9.48472406141774e-08,0.118060648441315,0.0323999991815072,-79.87273,-79.87273,2017,2,10
-0.000106063534697561,-7.58209384973027e-08,0.111660785973072,0.0353999991057208,-79.82554,-79.82554,2017,2,10
-0.000106046615669196,-6.15325264187835e-08,0.101316533982754,0.0343999991309829,-79.78688,-79.78688,2017,2,10
0.000111524338310493,-6.12439743884162e-08,0.131377711892128,0.0281999992876081,-79.76407,-79.76407,2017,2,11
-0.000327867083300883,-5.06684868369266e-08,0.126273512840271,0.0195999995048624,-79.73897,-79.73897,2017,2,11
-5.96799124230778e-05,-6.37189980307979e-08,0.145193502306938,0.0285999992775032,-79.6759,-79.6759,2017,2,11
-8.08895171088594e-05,-6.24182450896937e-08,0.137564301490784,0.0261999993381323,-79.64117,-79.64117,2017,2,11
